,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,x##length##inches
C15X50,50.0,14.7,15.0,3.72,0.716,0.650,0.799
C15X40,40.0,11.8,15.0,3.52,0.520,0.650,0.778
C15X33.9,33.9,10.0,15.0,3.40,0.400,0.650,0.788
C12X30,30.0,8.81,12.0,3.17,0.510,0.501,0.674
C12X25,25.0,7.34,12.0,3.05,0.387,0.501,0.674
C12X20.7,20.7,6.08,12.0,2.94,0.282,0.501,0.698
C10X30,30.0,8.81,10.0,3.03,0.673,0.436,0.649
C10X25,25.0,7.34,10.0,2.89,0.526,0.436,0.617
C10X20,20.0,5.87,10.0,2.74,0.379,0.436,0.606
C10X15.3,15.3,4.48,10.0,2.60,0.240,0.436,0.634
C9X20,20.0,5.87,9.00,2.65,0.448,0.413,0.583
C9X15,15.0,4.41,9.00,2.49,0.285,0.413,0.586
C9X13.4,13.4,3.94,9.00,2.43,0.233,0.413,0.601
C8X18.7,18.7,5.51,8.00,2.53,0.487,0.390,0.565
C8X18.5 - Obsolete,18.75,5.5,8,2.527,0.487,0.39,0.565
C8X13.7,13.7,4.04,8.00,2.34,0.303,0.390,0.554
C8X11.5,11.5,3.37,8.00,2.26,0.220,0.390,0.572
C7X14.7,14.7,4.33,7.00,2.30,0.419,0.366,0.532
C7X12.2,12.2,3.60,7.00,2.19,0.314,0.366,0.525
C7X9.8,9.80,2.87,7.00,2.09,0.210,0.366,0.541
C6X13,13.0,3.81,6.00,2.16,0.437,0.343,0.514
C6X10.5,10.5,3.08,6.00,2.03,0.314,0.343,0.500
C6X8.2,8.20,2.39,6.00,1.92,0.200,0.343,0.512
C5X9,9.00,2.64,5.00,1.89,0.325,0.320,0.478
C5X6.7,6.70,1.97,5.00,1.75,0.190,0.320,0.484
C4X7.2,7.20,2.13,4.00,1.72,0.321,0.296,0.459
C4X5.4,5.40,1.58,4.00,1.58,0.184,0.296,0.457
C4X4.5,4.50,1.38,4.00,1.58,0.125,0.296,0.493
C3X6,6.00,1.76,3.00,1.60,0.356,0.273,0.455
C3X5,5.00,1.47,3.00,1.50,0.258,0.273,0.439
C3X4.1,4.10,1.20,3.00,1.41,0.170,0.273,0.437
C3X3.5,3.50,1.09,3.00,1.37,0.132,0.273,0.443
