,Depth##length##inches,Wt##other##
52DLH10,52,25
52DLH11,52,26
52DLH12,52,29
52DLH13,52,34
52DLH14,52,39
52DLH15,52,42
52DLH16,52,45
52DLH17,52,52
56DLH11,56,26
56DLH12,56,30
56DLH13,56,34
56DLH14,56,39
56DLH15,56,42
56DLH16,56,46
56DLH17,56,51
60DLH12,60,29
60DLH13,60,35
60DLH14,60,40
60DLH15,60,43
60DLH16,60,46
60DLH17,60,52
60DLH18,60,59
64DLH12,64,31
64DLH13,64,34
64DLH14,64,40
64DLH15,64,43
64DLH16,64,46
64DLH17,64,52
64DLH18,64,59
68DLH13,68,37
68DLH14,68,40
68DLH15,68,44
68DLH16,68,49
68DLH17,68,55
68DLH18,68,61
68DLH19,68,67
72DLH14,72,41
72DLH15,72,44
72DLH16,72,50
72DLH17,72,56
72DLH18,72,59
72DLH19,72,70
