,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,Space##length##inches
2C15X50,100.0,29.4,15.0,3.72,0.7160,0.6500,0.0000
2C15X50X.375,100.0,29.4,15.0,3.72,0.7160,0.6500,0.3750
2C15X50X.75,100.0,29.4,15.0,3.72,0.7160,0.6500,0.7500
2C15X40,80.0,23.6,15.0,3.52,0.5200,0.6500,0.0000
2C15X40X.375,80.0,23.6,15.0,3.52,0.5200,0.6500,0.3750
2C15X40X.75,80.0,23.6,15.0,3.52,0.5200,0.6500,0.7500
2C15X33.9,67.8,20,15.0,3.40,0.4000,0.6500,0.0000
2C15X33.9X.375,67.8,20,15.0,3.40,0.4000,0.6500,0.3750
2C15X33.9X.75,67.8,20,15.0,3.40,0.4000,0.6500,0.7500
2C12X30,60.0,17.62,12.0,3.17,0.5100,0.5010,0.0000
2C12X30X.375,60.0,17.62,12.0,3.17,0.5100,0.5010,0.3750
2C12X30X.75,60.0,17.62,12.0,3.17,0.5100,0.5010,0.7500
2C12X25,50.0,14.68,12.0,3.05,0.3870,0.5010,0.0000
2C12X25X.375,50.0,14.68,12.0,3.05,0.3870,0.5010,0.3750
2C12X25X.75,50.0,14.68,12.0,3.05,0.3870,0.5010,0.7500
2C12X20.7,41.4,12.16,12.0,2.94,0.2820,0.5010,0.0000
2C12X20.7X.375,41.4,12.16,12.0,2.94,0.2820,0.5010,0.3750
2C12X20.7X.75,41.4,12.16,12.0,2.94,0.2820,0.5010,0.7500
2C10X30,60.0,17.62,10.0,3.03,0.6730,0.4360,0.0000
2C10X30X.375,60.0,17.62,10.0,3.03,0.6730,0.4360,0.3750
2C10X30X.75,60.0,17.62,10.0,3.03,0.6730,0.4360,0.7500
2C10X25,50.0,14.68,10.0,2.89,0.5260,0.4360,0.0000
2C10X25X.375,50.0,14.68,10.0,2.89,0.5260,0.4360,0.3750
2C10X25X.75,50.0,14.68,10.0,2.89,0.5260,0.4360,0.7500
2C10X20,40.0,11.74,10.0,2.74,0.3790,0.4360,0.0000
2C10X20X.375,40.0,11.74,10.0,2.74,0.3790,0.4360,0.3750
2C10X20X.75,40.0,11.74,10.0,2.74,0.3790,0.4360,0.7500
2C10X15.3,30.6,8.96,10.0,2.60,0.2400,0.4360,0.0000
2C10X15.3X.375,30.6,8.96,10.0,2.60,0.2400,0.4360,0.3750
2C10X15.3X.75,30.6,8.96,10.0,2.60,0.2400,0.4360,0.7500
2C9X20,40.0,11.74,9.00,2.65,0.4480,0.4130,0.0000
2C9X20X.375,40.0,11.74,9.00,2.65,0.4480,0.4130,0.3750
2C9X20X.75,40.0,11.74,9.00,2.65,0.4480,0.4130,0.7500
2C9X15,30.0,8.82,9.00,2.49,0.2850,0.4130,0.0000
2C9X15X.375,30.0,8.82,9.00,2.49,0.2850,0.4130,0.3750
2C9X15X.75,30.0,8.82,9.00,2.49,0.2850,0.4130,0.7500
2C9X13.4,26.8,7.88,9.00,2.43,0.2330,0.4130,0.0000
2C9X13.4X.375,26.8,7.88,9.00,2.43,0.2330,0.4130,0.3750
2C9X13.4X.75,26.8,7.88,9.00,2.43,0.2330,0.4130,0.7500
2C8X18.7,37.4,11.02,8.00,2.53,0.4870,0.3900,0.0000
2C8X18.7X.375,37.4,11.02,8.00,2.53,0.4870,0.3900,0.3750
2C8X18.7X.75,37.4,11.02,8.00,2.53,0.4870,0.3900,0.7500
2C8X13.7,27.4,8.08,8.00,2.34,0.3030,0.3900,0.0000
2C8X13.7X.375,27.4,8.08,8.00,2.34,0.3030,0.3900,0.3750
2C8X13.7X.75,27.4,8.08,8.00,2.34,0.3030,0.3900,0.7500
2C8X11.5,23.0,6.74,8.00,2.26,0.2200,0.3900,0.0000
2C8X11.5X.375,23.0,6.74,8.00,2.26,0.2200,0.3900,0.3750
2C8X11.5X.75,23.0,6.74,8.00,2.26,0.2200,0.3900,0.7500
2C7X14.7,29.4,8.66,7.00,2.30,0.4190,0.3660,0.0000
2C7X14.7X.375,29.4,8.66,7.00,2.30,0.4190,0.3660,0.3750
2C7X14.7X.75,29.4,8.66,7.00,2.30,0.4190,0.3660,0.7500
2C7X12.2,24.4,7.2,7.00,2.19,0.3140,0.3660,0.0000
2C7X12.2X.375,24.4,7.2,7.00,2.19,0.3140,0.3660,0.3750
2C7X12.2X.75,24.4,7.2,7.00,2.19,0.3140,0.3660,0.7500
2C7X9.8,19.6,5.74,7.00,2.09,0.2100,0.3660,0.0000
2C7X9.8X.375,19.6,5.74,7.00,2.09,0.2100,0.3660,0.3750
2C7X9.8X.75,19.6,5.74,7.00,2.09,0.2100,0.3660,0.7500
2C6X13,26.0,7.62,6.00,2.16,0.4370,0.3430,0.0000
2C6X13X.375,26.0,7.62,6.00,2.16,0.4370,0.3430,0.3750
2C6X13X.75,26.0,7.62,6.00,2.16,0.4370,0.3430,0.7500
2C6X10.5,21.0,6.16,6.00,2.03,0.3140,0.3430,0.0000
2C6X10.5X.375,21.0,6.16,6.00,2.03,0.3140,0.3430,0.3750
2C6X10.5X.75,21.0,6.16,6.00,2.03,0.3140,0.3430,0.7500
2C6X8.2,16.4,4.78,6.00,1.92,0.2000,0.3430,0.0000
2C6X8.2X.375,16.4,4.78,6.00,1.92,0.2000,0.3430,0.3750
2C6X8.2X.75,16.4,4.78,6.00,1.92,0.2000,0.3430,0.7500
2C5X9,18.0,5.28,5.00,1.89,0.3250,0.3200,0.0000
2C5X9X.375,18.0,5.28,5.00,1.89,0.3250,0.3200,0.3750
2C5X9X.75,18.0,5.28,5.00,1.89,0.3250,0.3200,0.7500
2C5X6.7,13.4,3.94,5.00,1.75,0.1900,0.3200,0.0000
2C5X6.7X.375,13.4,3.94,5.00,1.75,0.1900,0.3200,0.3750
2C5X6.7X.75,13.4,3.94,5.00,1.75,0.1900,0.3200,0.7500
2C4X7.2,14.4,4.26,4.00,1.72,0.3210,0.2960,0.0000
2C4X7.2X.375,14.4,4.26,4.00,1.72,0.3210,0.2960,0.3750
2C4X7.2X.75,14.4,4.26,4.00,1.72,0.3210,0.2960,0.7500
2C4X5.4,10.8,3.16,4.00,1.58,0.1840,0.2960,0.0000
2C4X5.4X.375,10.8,3.16,4.00,1.58,0.1840,0.2960,0.3750
2C4X5.4X.75,10.8,3.16,4.00,1.58,0.1840,0.2960,0.7500
2C4X4.5,9.0,2.76,4.00,1.58,0.1250,0.2960,0.0000
2C4X4.5X.375,9.0,2.76,4.00,1.58,0.1250,0.2960,0.3750
2C4X4.5X.75,9.0,2.76,4.00,1.58,0.1250,0.2960,0.7500
2C3X6,12.0,3.52,3.00,1.60,0.3560,0.2730,0.0000
2C3X6X.375,12.0,3.52,3.00,1.60,0.3560,0.2730,0.3750
2C3X6X.75,12.0,3.52,3.00,1.60,0.3560,0.2730,0.7500
2C3X5,10.0,2.94,3.00,1.50,0.2580,0.2730,0.0000
2C3X5X.375,10.0,2.94,3.00,1.50,0.2580,0.2730,0.3750
2C3X5X.75,10.0,2.94,3.00,1.50,0.2580,0.2730,0.7500
2C3X4.1,8.2,2.4,3.00,1.41,0.1700,0.2730,0.0000
2C3X4.1X.375,8.2,2.4,3.00,1.41,0.1700,0.2730,0.3750
2C3X4.1X.75,8.2,2.4,3.00,1.41,0.1700,0.2730,0.7500
2C3X3.5,7.0,2.18,3.00,1.37,0.1320,0.2730,0.0000
2C3X3.5X.375,7.0,2.18,3.00,1.37,0.1320,0.2730,0.3750
2C3X3.5X.75,7.0,2.18,3.00,1.37,0.1320,0.2730,0.7500
