,Height##SECTION_PROPERTY##INCHES,Width##SECTION_PROPERTY##INCHES,Perimeter##SURFACE_AREA##Square_feet_per_foot,Section Area##SECTION_AREA##SQUARE_INCHES,Moment of Inertia strong axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Moment of Inertia weak axis##MOMENT_OF_INERTIA##INCHES_TO_THE_FOURTH_POWER,Elastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Elastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus strong axis##SECTION_MODULUS##CUBIC_INCHES,Plastic Modulus weak axis##SECTION_MODULUS##CUBIC_INCHES,Section Name Key##other##
FL 1/8X1/2,0.5,0.125,1.25,0.0625,0.001,0,0.005,0.001,0.008,0.002,Flat 1/8X1/2
FL 1/8X3/4,0.75,0.125,1.75,0.0938,0.004,0,0.012,0.002,0.018,0.003,Flat 1/8X3/4
FL 1/8X1,1,0.125,2.25,0.125,0.01,0,0.021,0.003,0.031,0.004,Flat 1/8X1
FL 1/8X1-1/8,1.125,0.125,2.5,0.1406,0.015,0,0.026,0.003,0.04,0.004,Flat 1/8X1 1/8
FL 1/8X1-1/4,1.25,0.125,2.75,0.1563,0.02,0,0.033,0.003,0.049,0.005,Flat 1/8X1 1/4
FL 1/8X1-3/8,1.375,0.125,3,0.1719,0.035,0,0.047,0.004,0.07,0.006,Flat 1/8X1 3/8
FL 1/8X1-1/2,1.5,0.125,3.25,0.1875,0.027,0,0.039,0.004,0.059,0.005,Flat 1/8X1 1/2
FL 1/8X1-3/4,1.75,0.125,3.75,0.2188,0.056,0,0.064,0.005,0.096,0.007,Flat 1/8X1 3/4
FL 1/8X2,2,0.125,4.25,0.25,0.083,0,0.083,0.005,0.125,0.008,Flat 1/8X2
FL 1/8X2-1/4,2.25,0.125,4.75,0.2813,0.119,0,0.105,0.006,0.158,0.009,Flat 1/8X2 1/4
FL 1/8X2-1/2,2.5,0.125,5.25,0.3125,0.163,0,0.13,0.007,0.195,0.01,Flat 1/8X2 1/2
FL 1/8X2-3/4,2.75,0.125,5.75,0.3438,0.217,0,0.158,0.007,0.236,0.011,Flat 1/8X2 3/4
FL 1/8X3,3,0.125,6.25,0.375,0.281,0,0.188,0.008,0.281,0.012,Flat 1/8X3
FL 1/8X3-1/4,3.25,0.125,6.75,0.4063,0.358,0.001,0.22,0.008,0.33,0.013,Flat 1/8X3 1/4
FL 1/8X3-1/2,3.5,0.125,7.25,0.4375,0.447,0.001,0.255,0.009,0.383,0.014,Flat 1/8X3 1/2
FL 1/8X3-3/4,3.75,0.125,7.75,0.4688,0.549,0.001,0.293,0.01,0.439,0.015,Flat 1/8X3 3/4
FL 1/8X4,4,0.125,8.25,0.5,0.667,0.001,0.333,0.01,0.5,0.016,Flat 1/8X4
FL 1/8X4-1/2,4.5,0.125,9.25,0.5625,0.949,0.001,0.422,0.012,0.633,0.018,Flat 1/8X4 1/2
FL 1/8X5,5,0.125,10.25,0.625,1.302,0.001,0.521,0.013,0.781,0.02,Flat 1/8X5
FL 1/8X5-1/2,5.5,0.125,11.25,0.6875,1.733,0.001,0.63,0.014,0.945,0.021,Flat 1/8X5 1/2
FL 1/8X6,6,0.125,12.25,0.75,2.25,0.001,0.75,0.016,1.125,0.023,Flat 1/8X6
FL 1/8X6-1/2,6.5,0.125,13.25,0.8125,2.861,0.001,0.88,0.017,1.32,0.025,Flat 1/8X6 1/2
FL 1/8X7,7,0.125,14.25,0.875,3.573,0.001,1.021,0.018,1.531,0.027,Flat 1/8X7
FL 1/8X7-1/2,7.5,0.125,15.25,0.9375,4.395,0.001,1.172,0.02,1.758,0.029,Flat 1/8X7 1/2
FL 1/8X8,8,0.125,16.25,1,5.333,0.001,1.333,0.021,2,0.031,Flat 1/8X8
FL 1/8X9,9,0.125,18.25,1.125,7.594,0.001,1.687,0.023,2.531,0.035,Flat 1/8X9
FL 1/8X10,10,0.125,20.25,1.25,10.417,0.002,2.083,0.026,3.125,0.039,Flat 1/8X10
FL 1/8X11,11,0.125,22.25,1.375,13.865,0.002,2.521,0.029,3.781,0.043,Flat 1/8X11
FL 1/8X12,12,0.125,24.25,1.5,18,0.002,3,0.031,4.5,0.047,Flat 1/8X12
FL 3/16X1/2,0.5,0.1875,1.375,0.0938,0.002,0,0.008,0.003,0.012,0.004,Flat 3/16X1/2
FL 3/16X5/8,0.625,0.1875,1.625,0.1172,0.004,0,0.012,0.004,0.018,0.005,Flat 3/16X5/8
FL 3/16X3/4,0.75,0.1875,1.875,0.1406,0.007,0,0.018,0.004,0.026,0.007,Flat 3/16X3/4
FL 3/16X7/8,0.875,0.1875,2.125,0.1641,0.01,0,0.024,0.005,0.036,0.008,Flat 3/16X7/8
FL 3/16X1,1,0.1875,2.375,0.1875,0.016,0.001,0.031,0.006,0.047,0.009,Flat 3/16X1
FL 3/16X1-1/8,1.125,0.1875,2.625,0.2109,0.022,0.001,0.04,0.007,0.059,0.01,Flat 3/16X1 1/8
FL 3/16X1-1/4,1.25,0.1875,2.875,0.2344,0.031,0.001,0.049,0.007,0.073,0.011,Flat 3/16X1 1/4
FL 3/16X1-3/8,1.375,0.1875,3.125,0.2578,0.041,0.001,0.059,0.008,0.089,0.012,Flat 3/16X1 3/8
FL 3/16X1-1/2,1.5,0.1875,3.375,0.2813,0.053,0.001,0.07,0.009,0.105,0.013,Flat 3/16X1 1/2
FL 3/16X1-3/4,1.75,0.1875,3.875,0.3281,0.084,0.001,0.096,0.01,0.144,0.015,Flat 3/16X1 3/4
FL 3/16X2,2,0.1875,4.375,0.375,0.125,0.001,0.125,0.012,0.188,0.018,Flat 3/16X2
FL 3/16X2-1/4,2.25,0.1875,4.875,0.4219,0.178,0.001,0.158,0.013,0.237,0.02,Flat 3/16X2 1/4
FL 3/16X2-1/2,2.5,0.1875,5.375,0.4688,0.244,0.001,0.195,0.015,0.293,0.022,Flat 3/16X2 1/2
FL 3/16X2-3/4,2.75,0.1875,5.875,0.5156,0.325,0.002,0.236,0.016,0.354,0.024,Flat 3/16X2 3/4
FL 3/16X3,3,0.1875,6.375,0.5625,0.422,0.002,0.281,0.018,0.422,0.026,Flat 3/16X3
FL 3/16X3-1/4,3.25,0.1875,6.875,0.6094,0.536,0.002,0.33,0.019,0.495,0.029,Flat 3/16X3 1/4
FL 3/16X3-1/2,3.5,0.1875,7.375,0.6563,0.67,0.002,0.383,0.021,0.574,0.031,Flat 3/16X3 1/2
FL 3/16X3-3/4,3.75,0.1875,7.875,0.7031,0.824,0.002,0.439,0.022,0.659,0.033,Flat 3/16X3 3/4
