,W##other##,A##area##inches,d##length##inches,bf##length##inches,tw##length##inches,tf##length##inches,k##length##inches
HP14X117,117,34.4,14.2,14.9,0.805,0.805,1.5
HP14X102,102,30.0,14.0,14.8,0.705,0.705,1.375
HP14X89,89.0,26.1,13.8,14.7,0.615,0.615,1.3125
HP14X73,73.0,21.4,13.6,14.6,0.505,0.505,1.1875
HP12X84,84.0,24.6,12.3,12.3,0.685,0.685,1.375
HP12X74,74.0,21.8,12.1,12.2,0.605,0.610,1.3125
HP12X63,63.0,18.4,11.9,12.1,0.515,0.515,1.25
HP12X53,53.0,15.5,11.8,12.0,0.435,0.435,1.125
HP10X57,57.0,16.8,10.0,10.2,0.565,0.565,1.25
HP10X42,42.0,12.4,9.70,10.1,0.415,0.420,1.125
HP8X36,36.0,10.6,8.02,8.16,0.445,0.445,1.125
