,Shape##other##,W##other##,A##area##inches,Ht##length##inches,b##length##inches,t##length##inches
HSS20X12X5/8,Rect.,127.000,35.000,20.000,12.000,0.581
HSS20X12X1/2,Rect.,103.000,28.300,20.000,12.000,0.465
HSS20X12X3/8,Rect.,78.400,21.500,20.000,12.000,0.349
HSS20X12X5/16,Rect.,65.800,18.100,20.000,12.000,0.291
HSS20X8X5/8,Rect.,110.000,30.300,20.000,8.000,0.581
HSS20X8X1/2,Rect.,89.600,24.600,20.000,8.000,0.465
HSS20X8X3/8,Rect.,68.300,18.700,20.000,8.000,0.349
HSS20X8X5/16,Rect.,57.300,15.700,20.000,8.000,0.291
HSS20X4X1/2,Rect.,75.900,20.900,20.000,4.000,0.465
HSS20X4X3/8,Rect.,58.100,16.000,20.000,4.000,0.349
HSS20X4X5/16,Rect.,48.900,13.400,20.000,4.000,0.291
HSS20X4X1/4,Rect.,39.500,10.800,20.000,4.000,0.233
HSS18X12X5/8 - Obsolete,Rect.,119.000,32.600,18.000,12.000,0.581
HSS18X12X1/2 - Obsolete,Rect.,96.400,26.500,18.000,12.000,0.465
HSS18X12X3/8 - Obsolete,Rect.,73.300,20.100,18.000,12.000,0.349
HSS18X6X5/8,Rect.,93.100,25.700,18.000,6.000,0.581
HSS18X6X1/2,Rect.,75.900,20.900,18.000,6.000,0.465
HSS18X6X3/8,Rect.,58.100,16.000,18.000,6.000,0.349
HSS18X6X5/16,Rect.,48.900,13.400,18.000,6.000,0.291
HSS18X6X1/4,Rect.,39.500,10.800,18.000,6.000,0.233
HSS16X16X5/8,Square,127.000,35.000,16.000,16.000,0.581
HSS16X16X1/2,Square,103.000,28.300,16.000,16.000,0.465
HSS16X16X3/8,Square,78.400,21.500,16.000,16.000,0.349
HSS16X16X5/16,Square,65.800,18.100,16.000,16.000,0.291
HSS16X12X5/8,Rect.,110.000,30.300,16.000,12.000,0.581
HSS16X12X1/2,Rect.,89.600,24.600,16.000,12.000,0.465
HSS16X12X3/8,Rect.,68.300,18.700,16.000,12.000,0.349
HSS16X12X5/16,Rect.,57.400,15.700,16.000,12.000,0.291
HSS16X8X5/8,Rect.,93.100,25.700,16.000,8.000,0.581
HSS16X8X1/2,Rect.,75.900,20.900,16.000,8.000,0.465
HSS16X8X3/8,Rect.,58.100,16.000,16.000,8.000,0.349
HSS16X8X5/16,Rect.,48.900,13.400,16.000,8.000,0.291
HSS16X8X1/4,Rect.,39.500,10.800,16.000,8.000,0.233
HSS16X4X5/8,Rect.,76.100,21.000,16.000,4.000,0.581
HSS16X4X1/2,Rect.,62.300,17.200,16.000,4.000,0.465
HSS16X4X3/8,Rect.,47.900,13.200,16.000,4.000,0.349
HSS16X4X5/16,Rect.,40.300,11.100,16.000,4.000,0.291
HSS16X4X1/4,Rect.,32.700,8.960,16.000,4.000,0.233
HSS16X4X3/16,Rect.,24.700,6.760,16.000,4.000,0.174
HSS14X14X5/8,Square,110.000,30.300,14.000,14.000,0.581
HSS14X14X1/2,Square,89.600,24.600,14.000,14.000,0.465
HSS14X14X3/8,Square,68.200,18.700,14.000,14.000,0.349
HSS14X14X5/16,Square,57.300,15.700,14.000,14.000,0.291
HSS14X12X1/2 - Obsolete,Rect.,82.700,22.800,14.000,12.000,0.465
HSS14X12X3/8 - Obsolete,Rect.,63.100,17.300,14.000,12.000,0.349
HSS14X10X5/8,Rect.,93.100,25.700,14.000,10.000,0.581
HSS14X10X1/2,Rect.,75.900,20.900,14.000,10.000,0.465
HSS14X10X3/8,Rect.,58.100,16.000,14.000,10.000,0.349
HSS14X10X5/16,Rect.,48.900,13.400,14.000,10.000,0.291
HSS14X10X1/4,Rect.,39.500,10.800,14.000,10.000,0.233
HSS14X6X5/8,Rect.,76.100,21.000,14.000,6.000,0.581
HSS14X6X1/2,Rect.,62.300,17.200,14.000,6.000,0.465
HSS14X6X3/8,Rect.,47.900,13.200,14.000,6.000,0.349
HSS14X6X5/16,Rect.,40.300,11.100,14.000,6.000,0.291
HSS14X6X1/4,Rect.,32.700,8.960,14.000,6.000,0.233
HSS14X6X3/16,Rect.,24.700,6.760,14.000,6.000,0.174
HSS14X4X5/8,Rect.,67.600,18.700,14.000,4.000,0.581
HSS14X4X1/2,Rect.,55.500,15.300,14.000,4.000,0.465
HSS14X4X3/8,Rect.,42.700,11.800,14.000,4.000,0.349
HSS14X4X5/16,Rect.,36.100,9.920,14.000,4.000,0.291
HSS14X4X1/4,Rect.,29.200,8.030,14.000,4.000,0.233
HSS14X4X3/16,Rect.,22.100,6.060,14.000,4.000,0.174
HSS12X12X5/8,Square,93.100,25.700,12.000,12.000,0.581
HSS12X12X1/2,Square,75.900,20.900,12.000,12.000,0.465
HSS12X12X3/8,Square,58.000,16.000,12.000,12.000,0.349
HSS12X12X5/16,Square,48.800,13.400,12.000,12.000,0.291
HSS12X12X1/4,Square,39.400,10.800,12.000,12.000,0.233
